"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LSACW","LifeSci Acquisition Corp.","0.9","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lsacw",
"LCUT","Lifetime Brands, Inc.","7.04","$151.26M","1991","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lcut",
"LFVN","Lifevantage Corporation","13.58","$194.37M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lfvn",
"LWAY","Lifeway Foods, Inc.","2.3","$35.79M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lway",
"LGND","Ligand Pharmaceuticals Incorporated","111.91","$1.8B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lgnd",
"LTBR","Lightbridge Corporation","4.25","$14.3M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/ltbr",
"LPTH","LightPath Technologies, Inc.","3.24","$83.79M","1996","Technology","Semiconductors","https://old.nasdaq.com/symbol/lpth",
"LMB","Limbach Holdings, Inc.","3.71","$29.14M","n/a","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/lmb",
"LLNW","Limelight Networks, Inc.","7.435","$889.66M","2007","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/llnw",
"LMST","Limestone Bancorp, Inc.","13.08","$97.96M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/lmst",
"LMNL","Liminal BioSciences Inc.","22.79","$533.75M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lmnl",
"LMNR","Limoneira Co","14.07","$251.26M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lmnr",
"LINC","Lincoln Educational Services Corporation","3.92","$103.35M","2005","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/linc",
"LECO","Lincoln Electric Holdings, Inc.","82.51","$4.9B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/leco",
"LIND","Lindblad Expeditions Holdings Inc. ","8.1","$403.63M","2013","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/lind",
"LGHL","Lion Group Holding Ltd.","2.95","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lghl",
"LGHLW","Lion Group Holding Ltd.","0.1698","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lghlw",
"LPCN","Lipocine Inc.","1.23","$58.89M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lpcn",
"LIQT","LiqTech International, Inc.","5.26","$113.83M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/liqt",
"YVR","Liquid Media Group Ltd.","1.39","$13.89M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/yvr",
"LQDA","Liquidia Technologies, Inc.","8.28","$234.92M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/lqda",
"LQDT","Liquidity Services, Inc.","5.94","$202.08M","2006","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/lqdt",
"LFUS","Littelfuse, Inc.","162.88","$3.95B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/lfus",
"LIVK","LIV Capital Acquisition Corp.","9.86","$99.91M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/livk",
"LIVKU","LIV Capital Acquisition Corp.","10.25","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/livku",
"LIVKW","LIV Capital Acquisition Corp.","0.403","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/livkw",
"LIVN","LivaNova PLC","50.19","$2.44B","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/livn",
"LOB","Live Oak Bancshares, Inc.","13.86","$561.46M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/lob",
"LIVE","Live Ventures Incorporated","9.515","$15.38M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/live",
"LPSN","LivePerson, Inc.","42.96","$2.84B","2000","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/lpsn",
"LIVX","LiveXLive Media, Inc.","3.57","$211.9M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/livx",
"LVGO","Livongo Health, Inc.","74.41","$7.28B","2019","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/lvgo",
"LIZI","LIZHI INC.","5.3601","$245.13M","2020","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/lizi",
